timestamp,slot_id,grid_buy_price_cny_per_kwh,grid_sell_price_cny_per_kwh
2025-07-14 00:00:00,1,0.42,0.35
2025-07-14 00:15:00,2,0.42,0.35
2025-07-14 00:30:00,3,0.42,0.35
2025-07-14 00:45:00,4,0.42,0.35
2025-07-14 01:00:00,5,0.42,0.35
2025-07-14 01:15:00,6,0.42,0.35
2025-07-14 01:30:00,7,0.42,0.35
2025-07-14 01:45:00,8,0.42,0.35
2025-07-14 02:00:00,9,0.42,0.35
2025-07-14 02:15:00,10,0.42,0.35
2025-07-14 02:30:00,11,0.42,0.35
2025-07-14 02:45:00,12,0.42,0.35
2025-07-14 03:00:00,13,0.42,0.35
2025-07-14 03:15:00,14,0.42,0.35
2025-07-14 03:30:00,15,0.42,0.35
2025-07-14 03:45:00,16,0.42,0.35
2025-07-14 04:00:00,17,0.42,0.35
2025-07-14 04:15:00,18,0.42,0.35
2025-07-14 04:30:00,19,0.42,0.35
2025-07-14 04:45:00,20,0.42,0.35
2025-07-14 05:00:00,21,0.42,0.35
2025-07-14 05:15:00,22,0.42,0.35
2025-07-14 05:30:00,23,0.42,0.35
2025-07-14 05:45:00,24,0.42,0.35
2025-07-14 06:00:00,25,0.42,0.35
2025-07-14 06:15:00,26,0.42,0.35
2025-07-14 06:30:00,27,0.42,0.35
2025-07-14 06:45:00,28,0.42,0.35
2025-07-14 07:00:00,29,0.75,0.35
2025-07-14 07:15:00,30,0.75,0.35
2025-07-14 07:30:00,31,0.75,0.35
2025-07-14 07:45:00,32,0.75,0.35
2025-07-14 08:00:00,33,0.75,0.35
2025-07-14 08:15:00,34,0.75,0.35
2025-07-14 08:30:00,35,0.75,0.35
2025-07-14 08:45:00,36,0.75,0.35
2025-07-14 09:00:00,37,0.75,0.35
2025-07-14 09:15:00,38,0.75,0.35
2025-07-14 09:30:00,39,0.75,0.35
2025-07-14 09:45:00,40,0.75,0.35
2025-07-14 10:00:00,41,0.75,0.35
2025-07-14 10:15:00,42,0.75,0.35
2025-07-14 10:30:00,43,0.75,0.35
2025-07-14 10:45:00,44,0.75,0.35
2025-07-14 11:00:00,45,0.68,0.35
2025-07-14 11:15:00,46,0.68,0.35
2025-07-14 11:30:00,47,0.68,0.35
2025-07-14 11:45:00,48,0.68,0.35
2025-07-14 12:00:00,49,0.68,0.35
2025-07-14 12:15:00,50,0.68,0.35
2025-07-14 12:30:00,51,0.68,0.35
2025-07-14 12:45:00,52,0.68,0.35
2025-07-14 13:00:00,53,0.68,0.35
2025-07-14 13:15:00,54,0.68,0.35
2025-07-14 13:30:00,55,0.68,0.35
2025-07-14 13:45:00,56,0.68,0.35
2025-07-14 14:00:00,57,0.68,0.35
2025-07-14 14:15:00,58,0.68,0.35
2025-07-14 14:30:00,59,0.68,0.35
2025-07-14 14:45:00,60,0.68,0.35
2025-07-14 15:00:00,61,0.82,0.35
2025-07-14 15:15:00,62,0.82,0.35
2025-07-14 15:30:00,63,0.82,0.35
2025-07-14 15:45:00,64,0.82,0.35
2025-07-14 16:00:00,65,0.82,0.35
2025-07-14 16:15:00,66,0.82,0.35
2025-07-14 16:30:00,67,0.82,0.35
2025-07-14 16:45:00,68,0.82,0.35
2025-07-14 17:00:00,69,1.28,0.35
2025-07-14 17:15:00,70,1.28,0.35
2025-07-14 17:30:00,71,1.28,0.35
2025-07-14 17:45:00,72,1.28,0.35
2025-07-14 18:00:00,73,1.28,0.35
2025-07-14 18:15:00,74,1.28,0.35
2025-07-14 18:30:00,75,1.28,0.35
2025-07-14 18:45:00,76,1.28,0.35
2025-07-14 19:00:00,77,1.28,0.35
2025-07-14 19:15:00,78,1.28,0.35
2025-07-14 19:30:00,79,1.28,0.35
2025-07-14 19:45:00,80,1.28,0.35
2025-07-14 20:00:00,81,1.28,0.35
2025-07-14 20:15:00,82,1.28,0.35
2025-07-14 20:30:00,83,1.28,0.35
2025-07-14 20:45:00,84,1.28,0.35
2025-07-14 21:00:00,85,0.72,0.35
2025-07-14 21:15:00,86,0.72,0.35
2025-07-14 21:30:00,87,0.72,0.35
2025-07-14 21:45:00,88,0.72,0.35
2025-07-14 22:00:00,89,0.72,0.35
2025-07-14 22:15:00,90,0.72,0.35
2025-07-14 22:30:00,91,0.72,0.35
2025-07-14 22:45:00,92,0.72,0.35
2025-07-14 23:00:00,93,0.72,0.35
2025-07-14 23:15:00,94,0.72,0.35
2025-07-14 23:30:00,95,0.72,0.35
2025-07-14 23:45:00,96,0.72,0.35
2025-07-15 00:00:00,97,0.42,0.35
2025-07-15 00:15:00,98,0.42,0.35
2025-07-15 00:30:00,99,0.42,0.35
2025-07-15 00:45:00,100,0.42,0.35
2025-07-15 01:00:00,101,0.42,0.35
2025-07-15 01:15:00,102,0.42,0.35
2025-07-15 01:30:00,103,0.42,0.35
2025-07-15 01:45:00,104,0.42,0.35
2025-07-15 02:00:00,105,0.42,0.35
2025-07-15 02:15:00,106,0.42,0.35
2025-07-15 02:30:00,107,0.42,0.35
2025-07-15 02:45:00,108,0.42,0.35
2025-07-15 03:00:00,109,0.42,0.35
2025-07-15 03:15:00,110,0.42,0.35
