slot_id,timestamp,date,price_buy_yuan_per_kwh,p1_grid_import_kw,bl_grid_import_kw,p1_ess_net_kw,bl_ess_net_kw,p1_ev_net_kw,bl_ev_net_kw,p1_building_net_kw,bl_building_net_kw,p1_pv_curtail_kw,bl_pv_curtail_kw
577,2025-07-20 00:00:00,2025-07-20,0.4,513.7,350.2,0.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
578,2025-07-20 00:15:00,2025-07-20,0.4,505.9,342.3,0.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
579,2025-07-20 00:30:00,2025-07-20,0.4,505.1,341.6,0.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
580,2025-07-20 00:45:00,2025-07-20,0.4,489.9,326.4,0.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
581,2025-07-20 01:00:00,2025-07-20,0.4,508.9,345.4,0.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
582,2025-07-20 01:15:00,2025-07-20,0.4,494.5,331.1,0.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
583,2025-07-20 01:30:00,2025-07-20,0.4,500.2,336.7,0.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
584,2025-07-20 01:45:00,2025-07-20,0.4,503.3,339.7,0.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
585,2025-07-20 02:00:00,2025-07-20,0.4,496.7,333.3,0.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
586,2025-07-20 02:15:00,2025-07-20,0.4,501.1,337.6,0.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
587,2025-07-20 02:30:00,2025-07-20,0.4,497.9,334.4,0.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
588,2025-07-20 02:45:00,2025-07-20,0.4,504.1,340.6,0.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
589,2025-07-20 03:00:00,2025-07-20,0.4,499.9,336.4,0.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
590,2025-07-20 03:15:00,2025-07-20,0.4,491.4,327.9,0.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
591,2025-07-20 03:30:00,2025-07-20,0.4,488.8,325.3,0.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
592,2025-07-20 03:45:00,2025-07-20,0.4,496.8,333.3,0.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
593,2025-07-20 04:00:00,2025-07-20,0.4,501.0,337.5,0.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
594,2025-07-20 04:15:00,2025-07-20,0.4,510.4,346.9,0.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
595,2025-07-20 04:30:00,2025-07-20,0.4,791.9,328.4,-300.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
596,2025-07-20 04:45:00,2025-07-20,0.4,796.3,332.7,-300.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
597,2025-07-20 05:00:00,2025-07-20,0.4,791.5,328.0,-300.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
598,2025-07-20 05:15:00,2025-07-20,0.4,790.6,327.1,-300.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
599,2025-07-20 05:30:00,2025-07-20,0.4,791.2,327.6,-300.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
600,2025-07-20 05:45:00,2025-07-20,0.4,787.6,324.1,-300.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
601,2025-07-20 06:00:00,2025-07-20,0.4,775.1,311.6,-300.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
602,2025-07-20 06:15:00,2025-07-20,0.4,765.2,301.6,-300.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
603,2025-07-20 06:30:00,2025-07-20,0.4,751.3,287.79999999999995,-300.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
604,2025-07-20 06:45:00,2025-07-20,0.4,730.8,267.29999999999995,-300.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
605,2025-07-20 07:00:00,2025-07-20,0.4,721.8,258.29999999999995,-300.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
606,2025-07-20 07:15:00,2025-07-20,0.4,711.7,248.3,-300.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
607,2025-07-20 07:30:00,2025-07-20,0.4,535.80526,230.2,-142.10526,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
608,2025-07-20 07:45:00,2025-07-20,0.4,680.1,216.6,-300.0,0.0,0.0,0.0,-163.5,0.0,0.0,0.0
609,2025-07-20 08:00:00,2025-07-20,0.62,270.6,245.1,0.0,0.0,0.0,0.0,-25.5,0.0,0.0,0.0
610,2025-07-20 08:15:00,2025-07-20,0.62,255.1,229.6,0.0,0.0,0.0,0.0,-25.5,0.0,0.0,0.0
611,2025-07-20 08:30:00,2025-07-20,0.62,254.6,229.2,0.0,0.0,0.0,0.0,-25.5,0.0,0.0,0.0
612,2025-07-20 08:45:00,2025-07-20,0.62,236.3,217.9,0.0,0.0,0.0,-7.0,-25.5,0.0,0.0,0.0
613,2025-07-20 09:00:00,2025-07-20,0.62,213.2,194.7,0.0,0.0,0.0,-7.0,-25.5,0.0,0.0,0.0
