slot_id,timestamp,date,price_buy_yuan_per_kwh,p1_ev_charge_kw,p1_ev_discharge_kw,bl_ev_charge_kw,bl_ev_discharge_kw
577,2025-07-20 00:00:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
578,2025-07-20 00:15:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
579,2025-07-20 00:30:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
580,2025-07-20 00:45:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
581,2025-07-20 01:00:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
582,2025-07-20 01:15:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
583,2025-07-20 01:30:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
584,2025-07-20 01:45:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
585,2025-07-20 02:00:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
586,2025-07-20 02:15:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
587,2025-07-20 02:30:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
588,2025-07-20 02:45:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
589,2025-07-20 03:00:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
590,2025-07-20 03:15:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
591,2025-07-20 03:30:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
592,2025-07-20 03:45:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
593,2025-07-20 04:00:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
594,2025-07-20 04:15:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
595,2025-07-20 04:30:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
596,2025-07-20 04:45:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
597,2025-07-20 05:00:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
598,2025-07-20 05:15:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
599,2025-07-20 05:30:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
600,2025-07-20 05:45:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
601,2025-07-20 06:00:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
602,2025-07-20 06:15:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
603,2025-07-20 06:30:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
604,2025-07-20 06:45:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
