slot_id,timestamp,date,price_buy_yuan_per_kwh,p1_grid_import_kw,p1_grid_export_kw,bl_grid_import_kw,bl_grid_export_kw
577,2025-07-20 00:00:00,2025-07-20,0.4,513.7,0.0,350.2,0.0
578,2025-07-20 00:15:00,2025-07-20,0.4,505.9,0.0,342.3,0.0
579,2025-07-20 00:30:00,2025-07-20,0.4,505.1,0.0,341.6,0.0
580,2025-07-20 00:45:00,2025-07-20,0.4,489.9,0.0,326.4,0.0
581,2025-07-20 01:00:00,2025-07-20,0.4,508.9,0.0,345.4,0.0
582,2025-07-20 01:15:00,2025-07-20,0.4,494.5,0.0,331.1,0.0
583,2025-07-20 01:30:00,2025-07-20,0.4,500.2,0.0,336.7,0.0
584,2025-07-20 01:45:00,2025-07-20,0.4,503.3,0.0,339.7,0.0
585,2025-07-20 02:00:00,2025-07-20,0.4,496.7,0.0,333.3,0.0
586,2025-07-20 02:15:00,2025-07-20,0.4,501.1,0.0,337.6,0.0
587,2025-07-20 02:30:00,2025-07-20,0.4,497.9,0.0,334.4,0.0
588,2025-07-20 02:45:00,2025-07-20,0.4,504.1,0.0,340.6,0.0
589,2025-07-20 03:00:00,2025-07-20,0.4,499.9,0.0,336.4,0.0
590,2025-07-20 03:15:00,2025-07-20,0.4,491.4,0.0,327.9,0.0
591,2025-07-20 03:30:00,2025-07-20,0.4,488.8,0.0,325.3,0.0
592,2025-07-20 03:45:00,2025-07-20,0.4,496.8,0.0,333.3,0.0
593,2025-07-20 04:00:00,2025-07-20,0.4,501.0,0.0,337.5,0.0
594,2025-07-20 04:15:00,2025-07-20,0.4,510.4,0.0,346.9,0.0
595,2025-07-20 04:30:00,2025-07-20,0.4,791.9,0.0,328.4,0.0
596,2025-07-20 04:45:00,2025-07-20,0.4,796.3,0.0,332.7,0.0
597,2025-07-20 05:00:00,2025-07-20,0.4,791.5,0.0,328.0,0.0
598,2025-07-20 05:15:00,2025-07-20,0.4,790.6,0.0,327.1,0.0
599,2025-07-20 05:30:00,2025-07-20,0.4,791.2,0.0,327.6,0.0
600,2025-07-20 05:45:00,2025-07-20,0.4,787.6,0.0,324.1,0.0
601,2025-07-20 06:00:00,2025-07-20,0.4,775.1,0.0,311.6,0.0
602,2025-07-20 06:15:00,2025-07-20,0.4,765.2,0.0,301.6,0.0
603,2025-07-20 06:30:00,2025-07-20,0.4,751.3,0.0,287.79999999999995,0.0
604,2025-07-20 06:45:00,2025-07-20,0.4,730.8,0.0,267.29999999999995,0.0
605,2025-07-20 07:00:00,2025-07-20,0.4,721.8,0.0,258.29999999999995,0.0
606,2025-07-20 07:15:00,2025-07-20,0.4,711.7,0.0,248.3,0.0
607,2025-07-20 07:30:00,2025-07-20,0.4,535.80526,0.0,230.2,0.0
608,2025-07-20 07:45:00,2025-07-20,0.4,680.1,0.0,216.6,0.0
609,2025-07-20 08:00:00,2025-07-20,0.62,270.6,0.0,245.1,0.0
610,2025-07-20 08:15:00,2025-07-20,0.62,255.1,0.0,229.6,0.0
611,2025-07-20 08:30:00,2025-07-20,0.62,254.6,0.0,229.2,0.0
612,2025-07-20 08:45:00,2025-07-20,0.62,236.3,0.0,217.9,0.0
613,2025-07-20 09:00:00,2025-07-20,0.62,213.2,0.0,194.7,0.0
614,2025-07-20 09:15:00,2025-07-20,0.62,220.7,0.0,202.2,0.0
615,2025-07-20 09:30:00,2025-07-20,0.62,209.7,0.0,191.2,0.0
616,2025-07-20 09:45:00,2025-07-20,0.62,200.9,0.0,182.3,0.0
617,2025-07-20 10:00:00,2025-07-20,0.62,188.7,0.0,170.2,0.0
618,2025-07-20 10:15:00,2025-07-20,0.62,199.0,0.0,180.6,0.0
619,2025-07-20 10:30:00,2025-07-20,0.62,174.0,0.0,155.5,0.0
620,2025-07-20 10:45:00,2025-07-20,0.62,175.96316,0.0,162.20000000000005,0.0
621,2025-07-20 11:00:00,2025-07-20,0.62,188.6,0.0,181.2,0.0
622,2025-07-20 11:15:00,2025-07-20,0.62,166.1,0.0,183.9043478260869,0.0
623,2025-07-20 11:30:00,2025-07-20,0.62,166.5,0.0,170.0,0.0
624,2025-07-20 11:45:00,2025-07-20,0.62,178.71579,0.0,179.89999999999998,0.0
625,2025-07-20 12:00:00,2025-07-20,0.62,191.5,0.0,195.0,0.0
626,2025-07-20 12:15:00,2025-07-20,0.62,200.33158,0.0,190.1,0.0
627,2025-07-20 12:30:00,2025-07-20,0.62,217.8,0.0,203.30000000000007,0.0
628,2025-07-20 12:45:00,2025-07-20,0.62,194.6,0.0,191.20000000000005,0.0
629,2025-07-20 13:00:00,2025-07-20,0.62,219.6,0.0,202.3913043478261,0.0
630,2025-07-20 13:15:00,2025-07-20,0.62,195.9,0.0,184.1391304347825,0.0
631,2025-07-20 13:30:00,2025-07-20,0.62,252.6,0.0,214.3608695652174,0.0
632,2025-07-20 13:45:00,2025-07-20,0.62,258.3,0.0,210.3347826086956,0.0
633,2025-07-20 14:00:00,2025-07-20,0.62,262.7,0.0,204.2,0.0
634,2025-07-20 14:15:00,2025-07-20,0.62,268.0,0.0,209.50000000000009,0.0
635,2025-07-20 14:30:00,2025-07-20,0.62,286.32632,0.0,228.40000000000003,0.0
636,2025-07-20 14:45:00,2025-07-20,0.62,278.3,0.0,223.71304347826072,0.0
637,2025-07-20 15:00:00,2025-07-20,0.62,277.74211,0.0,246.40000000000003,0.0
638,2025-07-20 15:15:00,2025-07-20,0.62,284.0,0.0,258.40000000000003,0.0
639,2025-07-20 15:30:00,2025-07-20,0.62,306.6,0.0,281.1,0.0
640,2025-07-20 15:45:00,2025-07-20,0.62,312.7,0.0,287.20000000000005,0.0
641,2025-07-20 16:00:00,2025-07-20,0.62,326.8,0.0,301.3,0.0
642,2025-07-20 16:15:00,2025-07-20,0.62,342.6,0.0,317.1,0.0
643,2025-07-20 16:30:00,2025-07-20,0.62,364.7,0.0,339.20000000000005,0.0
644,2025-07-20 16:45:00,2025-07-20,0.62,391.7,0.0,366.1,0.0
645,2025-07-20 17:00:00,2025-07-20,0.62,399.9,0.0,374.4,0.0
646,2025-07-20 17:15:00,2025-07-20,0.62,405.0,0.0,379.5,0.0
647,2025-07-20 17:30:00,2025-07-20,0.62,407.0,0.0,381.4,0.0
648,2025-07-20 17:45:00,2025-07-20,0.62,427.7,0.0,402.2000000000001,0.0
649,2025-07-20 18:00:00,2025-07-20,0.78,14.4,0.0,384.9,0.0
650,2025-07-20 18:15:00,2025-07-20,0.78,31.464,0.0,402.5,0.0
651,2025-07-20 18:30:00,2025-07-20,0.78,30.3,0.0,398.5,0.0
652,2025-07-20 18:45:00,2025-07-20,0.78,37.712,0.0,404.1,0.0
653,2025-07-20 19:00:00,2025-07-20,0.78,58.516,0.0,427.6,0.0
654,2025-07-20 19:15:00,2025-07-20,0.78,50.812,0.0,418.5,0.0
655,2025-07-20 19:30:00,2025-07-20,0.78,46.154,0.0,413.3,0.0
656,2025-07-20 19:45:00,2025-07-20,0.78,46.176,0.0,413.5,0.0
657,2025-07-20 20:00:00,2025-07-20,0.78,40.352,0.0,404.8,0.0
658,2025-07-20 20:15:00,2025-07-20,0.78,28.99,0.0,391.4,0.0
659,2025-07-20 20:30:00,2025-07-20,0.78,36.41,0.0,399.9,0.0
660,2025-07-20 20:45:00,2025-07-20,0.78,19.806,0.0,381.0,0.0
